"File","RSA15_Video1","RSA15_Clown","RSA15_Video2","RSA15_Kids","RSA15_Intro","RSA15_Video3"
"003_T1","NA",5.67,5.14,5.41,5.01,4.77
"004_T1",5.23,5.03,5.37,4.69,4.28,4.67
"009_T1","NA",5.35,5.23,4.99,5.35,5.43
"012_T1",6.71,6.71,6.64,6.68,6.12,6.08
"015_T1",4.46,4.62,4.65,4.22,5.06,4.25
"016_T1",6.09,"NA",6.01,6.11,5.51,6.66
"017_T1",6.07,5.86,5.79,5.14,6.3,6.87
"018_T1",6.09,"NA",6.01,6.11,5.51,6.66
"020_T1",6.24,4.93,6.06,6.5,4.76,5.95
"027_T1",6.83,5.72,5.49,5.58,6.01,6.78
"028_T1",7.23,6.67,6.84,7.47,6.09,6.6
"029_T1",7.26,5.79,7.02,6.35,6.71,6.88
"031_T1",5.85,"NA",6.12,6.24,6.13,5.64
"037_T1",6.47,7.34,6.48,7.37,6.92,6.73
"041_T1","NA",6.53,6.66,6.54,6.4,6.85
"042_T1",5.44,5.62,6,6.14,5.36,5.85
"046_T1",7.24,6.94,7.3,6.99,6.73,7.03
"049_T1",5.99,6.02,6.24,6.59,6.52,6.16
"055_T1",6.2,5.74,7.56,5.99,5.38,6.46
"056_T1",7.22,6.5,7.69,7.52,7.26,6.49
"086_T1",5.57,"NA",5.58,5.58,4.84,5.48
"078_T1",6.16,5.49,6.79,5.55,5.37,5.91
